"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","expression_cluster","n_cluster_genes","pathway_theme","pathway_scope"
"ko04120","Ubiquitin mediated proteolysis","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126297745/LOC126297744",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko04923","Regulation of lipolysis in adipocytes","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126335781/LOC126267153",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
"ko05133","Pertussis","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126353858/LOC126281729",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05230","Central carbon metabolism in cancer","2/194","5/698",0.4,1.43917525773196,0.611023952940883,0.426127275292609,1,1,"LOC126268161/LOC126274964",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Carbohydrate and energy metabolism","Reference disease pathway"
"ko00630","Glyoxylate and dicarboxylate metabolism","3/194","9/698",0.333333333333333,1.19931271477663,0.373120090545979,0.477660905009674,1,1,"LOC126334596/LOC126267535/LOC126355053",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Carbohydrate and energy metabolism","Core metabolism or cross-domain"
"ko04310","Wnt signaling pathway","3/194","9/698",0.333333333333333,1.19931271477663,0.373120090545979,0.477660905009674,1,1,"LOC126297745/LOC126272633/LOC126297744",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko05164","Influenza A","3/194","9/698",0.333333333333333,1.19931271477663,0.373120090545979,0.477660905009674,1,1,"LOC126336238/LOC126299360/LOC126281749",3,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko01130","Biosynthesis of antibiotics","15/194","52/698",0.288461538461538,1.03786677240285,0.175972858172989,0.485770173630557,1,1,"LOC126349907/LOC126295405/LOC126334613/LOC126324953/LOC126298400/LOC126334596/LOC126282460/LOC126274964/LOC126266840/LOC126352958/LOC126281265/LOC126335242/LOC126278052/LOC126354610/LOC126284404",15,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Detoxification and secondary metabolism","Broad KEGG reference map"
"ko00981","Insect hormone biosynthesis","4/194","13/698",0.307692307692308,1.10705789056305,0.241572257667319,0.509532009578567,1,1,"LOC126293679/LOC126270657/LOC126293680/LOC126365945",4,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko05146","Amoebiasis","4/194","13/698",0.307692307692308,1.10705789056305,0.241572257667319,0.509532009578567,1,1,"LOC126267772/LOC126335167/LOC126282460/LOC126267773",4,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko05202","Transcriptional misregulation in cancer","4/194","13/698",0.307692307692308,1.10705789056305,0.241572257667319,0.509532009578567,1,1,"LOC126291805/LOC126299077/LOC126276893/LOC126281827",4,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Genetic information processing","Reference disease pathway"
"ko00250","Alanine, aspartate and glutamate metabolism","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126324953/LOC126298632",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00360","Phenylalanine metabolism","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126269845/LOC126335010",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko00430","Taurine and hypotaurine metabolism","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126283989/LOC126298632",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko00565","Ether lipid metabolism","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126312349/LOC126285116",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Lipid and membrane metabolism","Core metabolism or cross-domain"
"ko04214","Apoptosis - fly","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126297938/LOC126281729",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko04550","Signaling pathways regulating pluripotency of stem cells","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126278442/LOC126299461",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Cellular process","Eukaryote/metazoan-compatible"
"ko04750","Inflammatory mediator regulation of TRP channels","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126353858/LOC126335781",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Other KEGG pathway","Core metabolism or cross-domain"
"ko04927","Cortisol synthesis and secretion","2/194","6/698",0.333333333333333,1.19931271477663,0.303990189662509,0.53158880290348,1,1,"LOC126284222/LOC126335781",2,"KEGG_pathway","All fat body DEGs in heatmap",194,698,"DEG cluster 3+4",888,"Storage, lipid transport, and endocrine nutrition","Eukaryote/metazoan-compatible"
