"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 83 vs 33","LOC126293404","All samples",1,"Upregulated",0.00146361685771423,1.0114132822439
"Diet contrasts among control","Control 83 vs 33","LOC126295156","All samples",1,"Upregulated",0.00630706987536045,2.07633347845522
"Diet contrasts among control","Control 83 vs 33","LOC126275659","All samples",1,"Upregulated",0.00730261671304652,1.10748844343463
"Diet contrasts among control","Control 83 vs 33","LOC126294950","All samples",1,"Upregulated",0.00751687538624151,2.82792662276204
"Diet contrasts among control","Control 83 vs 33","LOC126334910","All samples",1,"Upregulated",0.0081150561426631,1.26207573082449
"Diet contrasts among control","Control 83 vs 33","LOC126354620","All samples",1,"Downregulated",0.0181657266622153,1.56373368566799
"Diet contrasts among control","Control 83 vs 33","LOC126267222","All samples",1,"Upregulated",0.0222079015044302,1.03895771084307
"Diet contrasts among control","Control 83 vs 33","LOC126272587","All samples",1,"Downregulated",0.025590899848133,1.1286301536002
"Diet contrasts among control","Control 83 vs 33","LOC126335786","All samples",1,"Upregulated",0.0261577952943964,1.80739701533077
"Diet contrasts among control","Control 83 vs 33","LOC126272143","All samples",1,"Upregulated",0.0298169547140072,2.6193126560444
"Diet contrasts among control","Control 83 vs 33","LOC126298522","All samples",1,"Upregulated",0.0349560787046796,3.32964992252978
"Diet contrasts among control","Control 83 vs 33","LOC126297497","All samples",1,"Upregulated",0.0458330059543729,4.70510623186405
"Diet contrasts among control","Control 83 vs 33","LOC126279039","All samples",1,"Upregulated",0.0479567623987883,1.60833119667378
"Diet contrasts among control","Control 83 vs 33","LOC126354896","All samples",1,"Upregulated",0.0488741083155157,1.4863667679614
"Diet contrasts among control","Control 83 vs 33","LOC126356044","All samples",1,"Upregulated",0.0495336635903705,1.15895241747628
"Diet contrasts among control","Control 83 vs 50","LOC126278052","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",1.52654440434084e-23,5.26397953128404
"Diet contrasts among control","Control 83 vs 50","LOC126354907","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",1.12519066995294e-11,2.06854170892564
"Diet contrasts among control","Control 83 vs 50","LOC126352958","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",1.15416037544461e-08,2.72814969103936
"Diet contrasts among control","Control 83 vs 50","LOC126273306","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",4.19992365182194e-07,1.40416203045532
"Diet contrasts among control","Control 83 vs 50","LOC126278447","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",9.40263630875085e-06,1.28880204755341
"Diet contrasts among control","Control 83 vs 50","LOC126337066","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",4.34591328142103e-05,3.01793960536298
"Diet contrasts among control","Control 83 vs 50","LOC126281265","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0002276652621012,1.54920155658825
"Diet contrasts among control","Control 83 vs 50","LOC126295405","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00120344167867195,2.17937765358143
"Diet contrasts among control","Control 83 vs 50","LOC126349907","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00165037913216598,1.60073916694568
"Diet contrasts among control","Control 83 vs 50","LOC126272511","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00203041751694157,2.57428026975762
"Diet contrasts among control","Control 83 vs 50","LOC126354813","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00237664203489955,1.71830244162153
"Diet contrasts among control","Control 83 vs 50","LOC126268018","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00250420790858657,2.57856520322861
"Diet contrasts among control","Control 83 vs 50","LOC126299510","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00383692100846629,3.27078724997128
"Diet contrasts among control","Control 83 vs 50","LOC126267545","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0149167521408891,5.73865852637443
"Diet contrasts among control","Control 83 vs 50","LOC126282167","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0169694558982421,2.10964223240418
"Diet contrasts among control","Control 83 vs 50","LOC126356065","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0240102139908727,1.25690766394316
"Diet contrasts among control","Control 83 vs 50","LOC126268174","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00202986339682019,5.06277339872429
"Diet contrasts among control","Control 83 vs 50","LOC126272251","Current outliers removed; Expanded outlier set",2,"Upregulated",0.00519058681869484,1.12610445206763
"Diet contrasts among control","Control 83 vs 50","LOC126304689","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0105974778077786,7.15083365036217
"Diet contrasts among control","Control 83 vs 50","LOC126323918","Current outliers removed; Expanded outlier set",2,"Upregulated",0.01169532003263,10.8029667874766
"Diet contrasts among control","Control 83 vs 50","LOC126297583","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0147545278750662,1.43852306160267
"Diet contrasts among control","Control 83 vs 50","LOC126326071","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0187645912261021,8.60096249340413
"Diet contrasts among control","Control 83 vs 50","LOC126334774","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0193614499228226,1.7113735084159
"Diet contrasts among control","Control 83 vs 50","LOC126335945","Current outliers removed; Expanded outlier set",2,"Upregulated",0.040895117401568,3.59951427550008
