"gene_id","log2FoldChange","padj","source","direction","source_direction","gene_biotype","gene_description","Gene_class","Direction","signed_direction","source_label","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway"
"LOC126285008",3.36904265071074,0.00513426279884453,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126285008","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126292301",1.62220230890639,0.00885201032977052,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126292301","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126292302",1.72983295270173,0.0103921723841367,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126292302","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126293629",1.67117106793282,0.0351148372899764,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126293629","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126293751",1.57621207238223,0.0408595629387299,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126293751","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126295189",2.22541312885641,0.00023359655606351,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126295189","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126295295",1.41122239805974,0.0027162137679927,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126295295","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126295438",1.1252528430748,0.00465775853970845,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126295438","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126298549",1.25224890795822,0.0178425889205505,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126298549","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126299228",3.94242909659053,0.00539230493442073,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126299228","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126299265",3.0664073027115,0.033906567720404,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126299265","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126301637",1.55740604706099,0.0291818265952374,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126301637","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126301639",2.39339988222947,0.00637609464673185,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126301639","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
"LOC126301643",1.55030342159815,0.0343345745238004,"DESeq2_infected_vs_control_diet_50","UP","DESeq2_infected_vs_control_diet_50__UP","lncRNA","uncharacterized LOC126301643","Long non-coding RNA","Higher in numerator/infected",1,"DESeq2 infected vs control diet 50",NA,NA,NA,NA,NA
