"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"LOC126271885",2734.80885006159,0.409453662244524,0.0627739128382078,6.52267229700722,6.90656526673759e-11,2.29010940766681e-09,"LOC126271885"
"LOC126273174",335.704442186987,0.606987103320282,0.22307081992194,2.72105111521393,0.00650746983200936,0.0208258610868467,"LOC126273174"
"LOC126271867",40.9220419480001,2.81053762056697,0.288080359883527,9.75608896664559,1.73726058396786e-22,3.46529197108339e-20,"LOC126271867"
"LOC126271869",882.256019215467,0.399305269631155,0.140335028368747,2.84537135362906,0.00443596739229968,0.0152066486922926,"LOC126271869"
"LOC126272323",251.641141133547,-0.403287983233518,0.117759131532272,-3.42468544040678,0.000615511624109794,0.0029763717399188,"LOC126272323"
"LOC126271989",600.312259385923,0.24073629575682,0.100019441716508,2.40689501586258,0.0160887941395425,0.0434157992441711,"LOC126271989"
"LOC126273327",13.4083135741441,1.02274712069368,0.387749277332051,2.63765061725144,0.00834825434666338,0.0254413499616865,"LOC126273327"
"LOC126272753",520.006635247018,0.25171781867762,0.087198031131374,2.88673741151767,0.00389258949912743,0.0137083579436857,"LOC126272753"
"LOC126272337",1229.83278007693,0.510406201422238,0.101715070286001,5.01799979085777,5.22122339243598e-07,6.85037387747561e-06,"LOC126272337"
"LOC126272475",14.5133022546084,1.50898016020165,0.325253471250712,4.6393975578465,3.49426291264368e-06,3.52630516543947e-05,"LOC126272475"
"LOC126271958",117.674317581727,-0.306123049729379,0.111679881125383,-2.74107607068182,0.00612383277930416,0.0198166918277812,"LOC126271958"
"LOC126271962",818.776108844042,-0.474381689517211,0.0715022400244531,-6.6345010919235,3.25601940260032e-11,1.14212794012432e-09,"LOC126271962"
"LOC126271956",815.711777410187,0.179963724529226,0.0677060019350008,2.65801730106579,0.00786018578330843,0.0242023954919719,"LOC126271956"
"LOC126272290",195.1308707574,1.29733050028369,0.510348562537744,2.54204791688375,0.0110205064087081,0.0320035907219217,"LOC126272290"
"LOC126272291",156.81079265742,0.508443765772522,0.19151509616896,2.65484954420491,0.00793437886571363,0.0243779255354272,"LOC126272291"
"LOC126272187",1886.00626212092,-0.301924000500281,0.0796960328005695,-3.78844454222473,0.000151593422092962,0.000908990900159115,"LOC126272187"
"LOC126272190",108.392546196263,-0.633302140855458,0.210327320925497,-3.0110312729167,0.00260362035934137,0.00983565352370597,"LOC126272190"
"LOC126272199",191.618744019437,-0.722362538421218,0.238873637736282,-3.02403624471408,0.00249426554395138,0.00948236865219873,"LOC126272199"
"LOC126272779",57.3054796161696,-0.793887470301671,0.219205668388832,-3.62165575432774,0.000292723480179648,0.00158343557117516,"LOC126272779"
"LOC126272781",627.494420224867,0.204496163110617,0.0682235720375411,2.99744145613029,0.00272256145324643,0.010213405675035,"LOC126272781"
"LOC126272257",1432.15169705257,0.348060674398839,0.111250340070816,3.12862571186105,0.00175625866075227,0.00713343877288053,"LOC126272257"
"LOC126273333",57.4010715297598,0.504012151510103,0.182507053989399,2.76160367773718,0.00575182514127629,0.0187939083065096,"LOC126273333"
"LOC126272271",108.532524598003,-0.752146573522197,0.189290655972741,-3.97350080307456,7.08239192891651e-05,0.00047262841277861,"LOC126272271"
"LOC126272407",318.961724460442,0.21853713881826,0.0647860371640048,3.37321355626424,0.000742963046958478,0.0034755098048633,"LOC126272407"
"LOC126273452",467.260247581062,-0.326370638050608,0.0849386951769203,-3.84242585044196,0.000121824224778267,0.00075458906041696,"LOC126273452"
"LOC126273453",362.846289137322,-0.257848050835786,0.106300306268887,-2.4256567067978,0.0152807170653411,0.0416770585304328,"LOC126273453"
"LOC126272256",1389.78348144825,-0.447457670183084,0.121165370736881,-3.69295011818822,0.000221667515566415,0.00125989449438651,"LOC126272256"
"LOC126272618",1362.13006526024,0.256064078323126,0.0599065688017892,4.27439066273944,1.91660728829106e-05,0.000152444913659338,"LOC126272618"
"LOC126272621",543.136731854416,-0.376264981587285,0.102363873391382,-3.67575951477195,0.000237142835085992,0.00133012540980131,"LOC126272621"
"LOC126272573",43.3926739605192,-2.25094722810889,0.501476765729057,-4.48863712526425,7.16802778256809e-06,6.52335345676706e-05,"LOC126272573"
"LOC126272582",292.337981111322,0.362534489088213,0.147264823815397,2.46178605111201,0.0138247106879358,0.0384417897282048,"LOC126272582"
"LOC126272572",139.837866116981,2.89769435645457,0.38555253726278,7.51569261358432,5.66104220937137e-14,3.10166801909163e-12,"LOC126272572"
