"gene_id","removal_source"
"LOC126356443","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356444","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356445","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356446","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356447","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356449","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356488","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356450","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356451","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356452","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356453","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356454","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356455","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356456","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356457","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356458","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356460","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356461","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356462","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356463","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356464","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356465","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356372","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356466","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356467","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356468","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356469","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356471","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356472","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356474","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356475","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356476","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356477","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356478","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356479","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356480","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356481","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356483","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356484","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356485","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356486","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356487","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356489","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356490","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356491","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356492","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126356493","data/excluded_loci/gregaria_rrna_list.txt"
