"gene_id","diet","DEG_set","log2FoldChange","padj","significant"
"LOC126273757","33","Diet 33",1.43890117490647,0.0184947768485133,TRUE
"LOC126273784","33","Diet 33",-2.22292497927767,0.0376764231207689,TRUE
"LOC126274965","33","Diet 33",-1.25119432245895,0.0162270231115536,TRUE
"LOC126275296","33","Diet 33",-2.50603014924907,0.049280862696698,TRUE
"LOC126275497","33","Diet 33",2.36312167029098,4.24425998293353e-05,TRUE
"LOC126275659","33","Diet 33",-1.02752240211718,0.0441415346865257,TRUE
"LOC126275742","33","Diet 33",2.11144481997669,0.0302488621940463,TRUE
"LOC126276001","33","Diet 33",1.41552482323576,0.0470650635173835,TRUE
"LOC126276533","33","Diet 33",-1.04674517890635,0.0231441374403779,TRUE
"LOC126276633","33","Diet 33",-1.07057911362694,0.00135287071251562,TRUE
"LOC126276951","33","Diet 33",-2.74827266442709,0.00050548502223343,TRUE
"LOC126277383","33","Diet 33",-3.13450711139022,0.0012221679560291,TRUE
"LOC126277750","33","Diet 33",1.26525342794103,0.0152558297284844,TRUE
"LOC126277867","33","Diet 33",1.78356462084557,0.00184702782361623,TRUE
"LOC126277871","33","Diet 33",-1.03458740505438,0.0388428228397342,TRUE
"LOC126277903","33","Diet 33",2.8991837193094,1.14853876233234e-06,TRUE
"LOC126277916","33","Diet 33",1.19401365868938,0.00311513635404706,TRUE
"LOC126277955","33","Diet 33",1.28976605922786,0.00101118877737808,TRUE
"LOC126277966","33","Diet 33",-1.24625958945804,0.0101564722727194,TRUE
"LOC126278002","33","Diet 33",-1.93635199562098,0.0333425244487727,TRUE
"LOC126278009","33","Diet 33",1.77728520360612,5.5669129960706e-05,TRUE
"LOC126278010","33","Diet 33",2.55303011389857,2.96440190352446e-05,TRUE
"LOC126278049","33","Diet 33",2.84806049579692,8.8896397214575e-09,TRUE
"LOC126278061","33","Diet 33",1.29615444828174,0.00150917794155934,TRUE
"LOC126278069","33","Diet 33",2.61747404016837,0.00515871644118896,TRUE
"LOC126278109","33","Diet 33",1.93608908311392,0.0135427148106373,TRUE
"LOC126278127","33","Diet 33",7.59950444177061,2.53043996647169e-12,TRUE
"LOC126278128","33","Diet 33",2.0811901854901,0.000228675237023812,TRUE
"LOC126278137","33","Diet 33",-2.06504758652832,0.0143925519274123,TRUE
"LOC126278149","33","Diet 33",-1.7016798416229,0.0221486464055933,TRUE
"LOC126278176","33","Diet 33",2.65340863770703,1.67533093906671e-06,TRUE
"LOC126278180","33","Diet 33",1.07245314070887,0.0255800282153344,TRUE
"LOC126278191","33","Diet 33",1.53553493916696,0.00351998942078465,TRUE
"LOC126278225","33","Diet 33",2.2412544434058,0.00318706367344289,TRUE
"LOC126278232","33","Diet 33",1.66953006976956,1.57584620177344e-05,TRUE
"LOC126278259","33","Diet 33",1.73743464093011,0.000272254436486666,TRUE
