"heatmap_row_order","gene_id","GFF_Description","gene_biotype","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
447,"LOC126298974","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0609636967341,0.00158414706061501,2.61718865559299,"1002","Lower than gene mean"
448,"LOC126336597","uncharacterized LOC126336597","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",4,"infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",3.30330420457209,1.16240183004837e-12,2.08935449171649,"1058","Lower than gene mean"
449,"LOC126284300","uncharacterized LOC126284300","lncRNA","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.62630588722282,0.00230289044040601,1.87927581962624,"1006","Higher than gene mean"
450,"LOC126305900","cytochrome P450 306a1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.8713968695064,0.00410504698976796,1.67703266367951,"1009","Higher than gene mean"
451,"LOC126267982","trypsin-7-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet33","Average control; Control diet 33",2.57468600248602,0.00201695438043194,1.69225374543275,"1039","Higher than gene mean"
452,"LOC126267518","WAG22 antigen-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.48863949912879,0.0484052321573253,1.97914664199602,"1041","Higher than gene mean"
453,"LOC126335199","homeobox protein unc-4 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.32188301190015,0.0223881559776758,1.5739776103152,"1009","Higher than gene mean"
454,"LOC126267953","phytanoyl-CoA dioxygenase domain-containing protein 1 homolog","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet83","Control diet 83",1.1007264411038,0.0318006578881223,2.35491248573103,"1038","Higher than gene mean"
455,"LOC126350022","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_average_all_diets","Average control",1.0760283036318,0.000525784070834309,2.27921223299379,"1016","Lower than gene mean"
456,"LOC126268126","acidic amino acid decarboxylase GADL1","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.49636375259765,0.00866512498671721,2.39551646395426,"1050","Higher than gene mean"
457,"LOC126284387","arylsulfatase B-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",1,"infection_diet50","Control diet 50",1.7073954084605,0.0435089611320181,1.93865891049654,"1050","Higher than gene mean"
458,"LOC126284862","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","Not evaluated in this chromosome-only figure",2,"infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.79736314181917,0.00119789890326298,2.0618678461283,"1020","Lower than gene mean"
