taxid	scientific_name	rank	lineage
5661	Leishmania donovani	species	root;cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Leishmaniinae;Leishmania;Leishmania;Leishmania donovani species complex;Leishmania donovani
5663	Leishmania enriettii	species	root;cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Leishmaniinae;Leishmania;Mundinia;Leishmania enriettii
5691	Trypanosoma brucei	species	root;cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanozoon;Trypanosoma brucei
5694	Trypanosoma equiperdum	species	root;cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Trypanosoma;Trypanozoon;Trypanosoma equiperdum
5762	Naegleria gruberi	species	root;cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitea;Acrasida;Naegleriidae;Naegleria;Naegleria gruberi
5763	Naegleria fowleri	species	root;cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitea;Acrasida;Naegleriidae;Naegleria;Naegleria fowleri
5778	Vermamoeba vermiformis	species	root;cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Echinamoebida;Vermamoebidae;Vermamoeba;Vermamoeba vermiformis
5786	Dictyostelium purpureum	species	root;cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Dictyostelia;Dictyosteliales;Dictyosteliaceae;Dictyostelium;Dictyostelium purpureum
5791	Badhamia polycephala	species	root;cellular organisms;Eukaryota;Amoebozoa;Evosea;Eumycetozoa;Myxogastria;Myxogastromycetidae;Physariida;Physaraceae;Badhamia;Badhamia polycephala
5802	Eimeria tenella	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Coccidia;Eucoccidiorida;Eimeriorina;Eimeriidae;Eimeria;Eimeria tenella
5824	Plasmodium brasilianum	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium;Plasmodium brasilianum
5858	Plasmodium malariae	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium;Plasmodium;Plasmodium malariae
5871	Babesia caballi	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia;Babesia caballi
5888	Paramecium tetraurelia	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium tetraurelia
5908	Tetrahymena pyriformis	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Hymenostomatida;Tetrahymenina;Tetrahymenidae;Tetrahymena;Tetrahymena pyriformis
5911	Tetrahymena thermophila	species	root;cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Hymenostomatida;Tetrahymenina;Tetrahymenidae;Tetrahymena;Tetrahymena thermophila
6082	Hydra viridissima	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Aplanulata;Hydridae;Hydra;Hydra viridissima
