"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",1
"Expanded outlier set","Diet contrasts among control","Control 83 vs 50","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Downregulated",6
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Upregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Downregulated",26
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Upregulated",2
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Downregulated",1877
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Upregulated",5
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",3
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 33 vs 50","Thorax phase DEG only","Numerator more solitarious-like","Downregulated",4
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Upregulated",2
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Head phase DEG only","Numerator more solitarious-like","Upregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","No phase DEG","Not phase-associated","Downregulated",3
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","No phase DEG","Not phase-associated","Upregulated",5
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","No phase reference","Not phase-associated","Downregulated",6
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","No phase reference","Not phase-associated","Upregulated",5
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 33","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"Expanded outlier set","Diet contrasts among infected","Infected 83 vs 50","No phase reference","Not phase-associated","Upregulated",1
