"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Any large single-pair shift",25,374,5,20,1.33689839572193,0.0126903553299492,"LOC126268018;LOC126272511;LOC126295405;LOC126297583;LOC126356065"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in solitarious/isolated reference",25,133,4,16,3.00751879699248,0.025974025974026,"LOC126268018;LOC126272511;LOC126295405;LOC126297583"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Any large single-pair shift",2,374,1,50,0.267379679144385,0.00266666666666667,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in gregarious/crowded reference",2,241,1,50,0.4149377593361,0.00413223140495868,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Top absolute single-pair shifts",2,500,1,50,0.2,0.00199600798403194,"LOC126337066"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in gregarious/crowded reference",25,241,1,4,0.4149377593361,0.00377358490566038,"LOC126356065"
"Current outliers removed","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in solitarious/isolated reference",2,133,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Top absolute single-pair shifts",10,500,6,60,1.2,0.0119047619047619,"LOC126272144;LOC126272465;LOC126337066;LOC126344004;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Any large single-pair shift",10,374,5,50,1.33689839572193,0.0131926121372032,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in gregarious/crowded reference",10,241,5,50,2.0746887966805,0.0203252032520325,"LOC126272144;LOC126272465;LOC126337066;LOC126350918;LOC126354934"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Top absolute single-pair shifts",1921,500,4,0.208224882873503,0.8,0.00165494414563508,"LOC126268018;LOC126272290;LOC126336409;LOC126352417"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Any large single-pair shift",1921,374,3,0.156168662155128,0.802139037433155,0.00130890052356021,"LOC126268018;LOC126272290;LOC126336409"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in solitarious/isolated reference",1921,133,3,0.156168662155128,2.25563909774436,0.00146270112140419,"LOC126268018;LOC126272290;LOC126336409"
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Downregulated","Higher in gregarious/crowded reference",1921,241,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 33 vs 50","Upregulated","Higher in solitarious/isolated reference",10,133,0,0,0,0,""
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Top absolute single-pair shifts",14,500,3,21.4285714285714,0.6,0.00587084148727984,"LOC126268018;LOC126278052;LOC126295405"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Any large single-pair shift",10,374,2,20,0.53475935828877,0.00523560209424084,"LOC126272465;LOC126278199"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Higher in gregarious/crowded reference",10,241,2,20,0.829875518672199,0.00803212851405622,"LOC126272465;LOC126278199"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Downregulated","Top absolute single-pair shifts",10,500,2,20,0.4,0.00393700787401575,"LOC126272465;LOC126278199"
"Current outliers removed","Diet contrasts among infected","Infected 83 vs 33","Upregulated","Any large single-pair shift",14,374,2,14.2857142857143,0.53475935828877,0.00518134715025907,"LOC126268018;LOC126295405"
