"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126272603",3,0.154579370660266,"Fat body","Thorax","Fat body=6.3; Head=6.16; Thorax=6.14"
"LOC126272606",3,0.137602116783597,"Fat body","Head","Fat body=6.27; Head=6.14; Thorax=6.14"
"LOC126272607",3,0.206142399492164,"Fat body","Head","Fat body=6.69; Head=6.48; Thorax=6.52"
"LOC126272608",3,0.476728526979509,"Head","Fat body","Fat body=5.86; Head=6.34; Thorax=6.06"
"LOC126272609",3,0.543529506460175,"Head","Fat body","Fat body=5.37; Head=5.91; Thorax=5.58"
"LOC126272610",3,2.59816917674188,"Fat body","Thorax","Fat body=9.7; Head=7.35; Thorax=7.1"
"LOC126272611",3,0.285879747015427,"Thorax","Fat body","Fat body=7.54; Head=7.81; Thorax=7.83"
"LOC126272612",3,0.0636412955733165,"Thorax","Fat body","Fat body=5.76; Head=5.79; Thorax=5.82"
"LOC126272613",3,0.0853010540288937,"Fat body","Thorax","Fat body=6.64; Head=6.61; Thorax=6.56"
"LOC126272614",3,0.186573117732863,"Head","Fat body","Fat body=5.55; Head=5.74; Thorax=5.72"
"LOC126272615",3,0.573084343802281,"Fat body","Thorax","Fat body=7.2; Head=6.91; Thorax=6.63"
"LOC126272616",3,0.307269576437101,"Thorax","Fat body","Fat body=6.82; Head=7; Thorax=7.13"
"LOC126272617",3,0.483729160751297,"Head","Fat body","Fat body=6.58; Head=7.06; Thorax=7.03"
