"term","gene"
"ko04072","LOC126354194"
"ko04666","LOC126354194"
"ko04975","LOC126354194"
"ko05231","LOC126354194"
"ko03015","LOC126354203"
"ko03013","LOC126354334"
"ko04146","LOC126354401"
"ko03013","LOC126354431"
"ko00562","LOC126354435"
"ko01100","LOC126354435"
"ko04070","LOC126354435"
"ko04141","LOC126354467"
"ko04111","LOC126354501"
"ko00440","LOC126354574"
"ko01100","LOC126354574"
"ko01120","LOC126354574"
"ko01130","LOC126354574"
"ko04130","LOC126354583"
"ko04721","LOC126354583"
"ko04911","LOC126354583"
"ko05031","LOC126354583"
"ko00073","LOC126354620"
"ko04146","LOC126354620"
"ko04212","LOC126354620"
"ko00500","LOC126354687"
"ko01100","LOC126354687"
"ko00250","LOC126354697"
"ko00520","LOC126354697"
"ko01100","LOC126354697"
"ko01130","LOC126354697"
"ko04931","LOC126354697"
"ko04012","LOC126354726"
"ko04020","LOC126354726"
"ko04024","LOC126354726"
"ko04066","LOC126354726"
"ko04114","LOC126354726"
"ko04217","LOC126354726"
"ko04261","LOC126354726"
"ko04310","LOC126354726"
"ko04360","LOC126354726"
"ko04713","LOC126354726"
"ko04720","LOC126354726"
"ko04722","LOC126354726"
"ko04725","LOC126354726"
"ko04728","LOC126354726"
"ko04740","LOC126354726"
"ko04745","LOC126354726"
"ko04750","LOC126354726"
"ko04911","LOC126354726"
"ko04912","LOC126354726"
"ko04916","LOC126354726"
"ko04921","LOC126354726"
"ko04922","LOC126354726"
"ko04925","LOC126354726"
"ko04934","LOC126354726"
"ko04971","LOC126354726"
"ko05031","LOC126354726"
"ko05152","LOC126354726"
"ko05200","LOC126354726"
"ko05205","LOC126354726"
"ko05214","LOC126354726"
"ko04320","LOC126354880"
"ko00600","LOC126354975"
"ko01100","LOC126354975"
"ko04071","LOC126354975"
"ko04142","LOC126354975"
"ko04217","LOC126354975"
"ko04120","LOC126355088"
"ko03040","LOC126355114"
"ko00970","LOC126355178"
"ko00220","LOC126355378"
"ko00250","LOC126355378"
"ko00471","LOC126355378"
"ko01100","LOC126355378"
"ko04724","LOC126355378"
"ko04727","LOC126355378"
"ko04964","LOC126355378"
"ko05206","LOC126355378"
"ko05230","LOC126355378"
"ko00230","LOC126355410"
"ko00730","LOC126355410"
