"GeneID","Description"
"LOC126267857","serine/threonine-protein kinase stk11-like"
"LOC126267859","uncharacterized LOC126267859"
"LOC126267870","hemicentin-2-like"
"LOC126267873","dendritic arbor reduction protein 1-like"
"LOC126267875","macrophage mannose receptor 1-like"
"LOC126267876","uncharacterized LOC126267876"
"LOC126267877","Down syndrome cell adhesion molecule-like protein Dscam2"
"LOC126267887","transmembrane GTPase Marf-like"
"LOC126267888","atrial natriuretic peptide receptor 3"
"LOC126267889","uncharacterized LOC126267889"
"LOC126267898","band 7 protein AGAP004871-like"
"LOC126267901","uncharacterized LOC126267901"
"LOC126267905","dynein regulatory complex subunit 7-like"
"LOC126267909","RING finger protein nhl-1-like"
"LOC126267910","heart- and neural crest derivatives-expressed protein 1"
"LOC126267915","LIM homeobox transcription factor 1-alpha-like"
"LOC126267921","uncharacterized LOC126267921"
"LOC126267924","uncharacterized LOC126267924"
"LOC126267932","discoidin domain-containing receptor 2-like"
"LOC126267934","epithelial discoidin domain-containing receptor 1-like"
"LOC126267936","ankyrin-3-like"
"LOC126267937","TWiK family of potassium channels protein 18-like"
"LOC126267956","uncharacterized LOC126267956"
"LOC126267965","testis-specific serine/threonine-protein kinase 3"
"LOC126267969","ATP-dependent 6-phosphofructokinase-like"
"LOC126267970","glucose dehydrogenase [FAD%2C quinone]-like"
"LOC126267974","uncharacterized LOC126267974"
"LOC126267978","serine protease 33-like"
"LOC126267980","acyl-CoA Delta-9 desaturase-like"
"LOC126267981","serine protease 48-like"
"LOC126267982","trypsin-7-like"
"LOC126267984","trypsin-1-like"
"LOC126267985","keratin%2C type I cytoskeletal 10-like"
"LOC126267988","uncharacterized LOC126267988"
"LOC126267991","paramyosin%2C long form"
"LOC126267994","uncharacterized LOC126267994"
"LOC126267997","myosin heavy chain 95F"
"LOC126268000","uncharacterized LOC126268000"
"LOC126268008","neuronal acetylcholine receptor subunit alpha-7-like"
"LOC126268014","uncharacterized LOC126268014"
"LOC126268015","uncharacterized LOC126268015"
"LOC126268016","uncharacterized LOC126268016"
"LOC126268018","uncharacterized transporter slc-17.2-like"
"LOC126268019","uncharacterized LOC126268019"
