Description,GeneID_Control,GeneID_Infected,GeneID_Within
ankyrin repeat%2C PH and SEC7 domain containing protein secG-like,LOC126315246,LOC126315246;LOC126316931,LOC126295163;LOC126315246;LOC126316931
ankyrin-1-like,LOC126315379,LOC126315379,LOC126336353;LOC126336878;LOC126273250;LOC126291886;LOC126315379
antizyme inhibitor 2-like,LOC126317455,LOC126317455,LOC126317455
AP-1 complex subunit gamma-like,LOC126323782,LOC126323782,LOC126323782
ataxin-2 homolog,LOC126326200,LOC126326200,LOC126326200
atypical kinase COQ8A%2C mitochondrial-like,LOC126324539,LOC126324539,LOC126324539
autophagy-related protein 9-like,LOC126323238,LOC126323238,LOC126323238
BCAS3 microtubule associated cell migration factor-like,LOC126304714,LOC126304714,LOC126304714
branchpoint-bridging protein-like,LOC126304762,LOC126304762,LOC126304762
brefeldin A-inhibited guanine nucleotide-exchange protein 2-like,LOC126316772,LOC126316772,LOC126316772
CAP-Gly domain-containing linker protein 1-like,LOC126325489,LOC126313369;LOC126325489,LOC126313369;LOC126325489
CCR4-NOT transcription complex subunit 1-like,LOC126326229,LOC126326229,LOC126326229
cell division cycle 5-related protein-like,LOC126319946,LOC126319946,LOC126319946
chaperone protein DnaJ-like,LOC126323900,LOC126313382;LOC126323900,LOC126323900
chitinase domain-containing protein 1-like,LOC126315390,LOC126315390,LOC126315390
chromatin-remodeling ATPase INO80-like,LOC126318672,LOC126318672,LOC126318672
chromodomain-helicase-DNA-binding protein 8-like,LOC126304715,LOC126304715,LOC126304715
citrate synthase%2C mitochondrial-like,LOC126315349,LOC126315349,LOC126315349
citrate/2-methylcitrate dehydratase-like,LOC126323268,LOC126323268,LOC126323268
coatomer subunit delta-like,LOC126315383,LOC126315383,LOC126315383
condensin complex subunit 3-like,LOC126325817,LOC126325817,LOC126325817
conserved oligomeric Golgi complex subunit 4-like,LOC126316951,LOC126316951,LOC126316951
COP9 signalosome complex subunit 6-like,LOC126320554,LOC126320554,LOC126320554
copine-9-like,LOC126315321,LOC126315321,LOC126315321
coronin-A-like,LOC126319989;LOC126319990,LOC126319989,LOC126319989;LOC126319990;LOC126328067
crossover junction endonuclease MUS81-like,LOC126327185,LOC126327185,LOC126327185
cullin-1-like,LOC126322414;LOC126297745,LOC126322414,LOC126322414
cullin-3-like,LOC126318281,LOC126318281,LOC126318281
cyclic GMP-binding protein C-like,LOC126304653,LOC126304653,LOC126304653
CYFIP-related Rac1 interactor homolog,LOC126325920,LOC126322537;LOC126325920,LOC126325920
cytochrome P450 6k1-like,LOC126335044;LOC126272143,LOC126272144;LOC126273058;LOC126272683,LOC126272899;LOC126272296;LOC126272550;LOC126284044;LOC126272144;LOC126271907
cytoplasmic aconitate hydratase-like,LOC126322585,LOC126322585,LOC126365941;LOC126322585
D-3-phosphoglycerate dehydrogenase-like,LOC126316771,LOC126316771,LOC126316771
delta-1-pyrroline-5-carboxylate dehydrogenase%2C mitochondrial-like,LOC126316722,LOC126316722,LOC126316722
DENN domain-containing protein 2A-like,LOC126327201,LOC126327201,LOC126327201
diacylglycerol kinase 1-like,LOC126327199,LOC126327199,LOC126327199
diacylglycerol kinase epsilon-like,LOC126316769,LOC126316769,LOC126316769
dihydrolipoyl dehydrogenase%2C mitochondrial-like,LOC126316432,LOC126316432,LOC126316432
dipeptidyl aminopeptidase BI-like,LOC126316674,LOC126316674,LOC126316674
DNA-directed RNA polymerase I subunit rpa1-like,LOC126332393,LOC126332393,LOC126332393
DNA-directed RNA polymerase II subunit rpb2-like,LOC126318616,LOC126318616,LOC126318616
DNA-directed RNA polymerase subunit beta''-like,LOC126322237,LOC126322237,LOC126322237
dolichyldiphosphatase 1-like,LOC126324748,LOC126324748,LOC126324748
dual specificity protein kinase shkC-like,LOC126315224;LOC126328213,LOC126315224;LOC126326547;LOC126328213,LOC126315224;LOC126326547;LOC126328213
dynamin-like protein A,LOC126331441,LOC126311186;LOC126322546;LOC126331441,LOC126322546;LOC126331441
dynamin-like protein C,LOC126320441,LOC126320441,LOC126320441
elongation factor-like GTPase 1,LOC126317457,LOC126317457,LOC126317457
epidermal growth factor receptor substrate 15 homolog,LOC126320564,LOC126320564,LOC126320564
eukaryotic initiation factor 4A-III-like,LOC126320427,LOC126320427,LOC126320427
eukaryotic translation initiation factor 3 subunit D-like,LOC126326525,LOC126326525,LOC126326525
eukaryotic translation initiation factor 4 gamma 3-like,LOC126318456,LOC126318456,LOC126318456
exocyst complex component 3-like,LOC126315396,LOC126315396,LOC126315396
exocyst complex component 7-like,LOC126316445,LOC126316445,LOC126316445
F-actin-capping protein subunit beta-like,LOC126318294,LOC126318294,LOC126318294
F-box-like/WD repeat-containing protein TBL1X,LOC126315236,LOC126315236,LOC126315236
facilitated trehalose transporter Tret1-2 homolog,LOC126272587;LOC126278499,LOC126278499,LOC126282405;LOC126355798;LOC126272268
