"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
2095,"LOC126316445","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.2597636047515,0.00595832104337809,3.25696146335499,"1037","Higher than gene average"
2096,"LOC126323767","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.40802836935499,0.0122098593338319,3.08359154543639,"1037","Higher than gene average"
2097,"LOC126322405","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.00271835619074,0.0198151814856575,3.72494533237075,"1037","Higher than gene average"
2098,"LOC126326073","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.63579316361906,0.0303655638569716,3.75379977412427,"1037","Higher than gene average"
2099,"LOC126319884","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.06904625090916,0.0263794839535969,3.0873797362347,"1037","Higher than gene average"
2100,"LOC126315356","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.72636007801971,0.0343491771152436,3.09034017082525,"1037","Higher than gene average"
2101,"LOC126322392","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.59509764305941,0.0420977517327832,3.07403616357684,"1037","Higher than gene average"
2102,"LOC126326535","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.26645744546823,0.0309072178640275,3.09505416254889,"1007","Higher than gene average"
2103,"LOC126318232","Leucine-rich repeat","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.81578604338386,0.0194112673546966,3.32626717078799,"1037","Higher than gene average"
2104,"LOC126316667","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.71596394675692,0.0217697992298803,3.06678436313032,"1007","Higher than gene average"
2105,"LOC126315292","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.79059126512657,0.00445781972436831,3.50389922114705,"1037","Higher than gene average"
2106,"LOC126304978","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.67385973112828,0.0193932278626183,3.36526389055987,"1037","Higher than gene average"
2107,"LOC126329921","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",5.95606547171113,0.0224628378621493,3.49027271276198,"1037","Higher than gene average"
2108,"LOC126319853","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.01009238032129,0.0241510585133754,3.28481656264734,"1037","Higher than gene average"
2109,"LOC126325873","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.0737698403476,0.0312030551615764,3.40165030750983,"1037","Higher than gene average"
2110,"LOC126323236","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.76734971370351,0.00843340880660303,3.17714486228089,"1037","Higher than gene average"
2111,"LOC126318435","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.18776213324205,0.0110559032485719,3.30733057844012,"1037","Higher than gene average"
2112,"LOC126324744","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.78203406563718,0.00738547184806319,3.27949769458593,"1037","Higher than gene average"
2113,"LOC126304737","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",7.6367752082501,0.0106760007687336,3.27081075790002,"1037","Higher than gene average"
2114,"LOC126315235","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.08875292400781,0.0161382756694198,3.16270348030341,"1037","Higher than gene average"
2115,"LOC126326584","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.62240112007423,0.0216177359337729,3.60074873181526,"1037","Higher than gene average"
2116,"LOC126304750","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.03687314372866,0.042321237571268,3.72717132852677,"1037","Higher than gene average"
2117,"LOC126330068","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",6.93879304503533,0.0111334238653668,3.14256461779118,"1037","Higher than gene average"
