"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281455",-1.2708486918683
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281481",2.5104635633708
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281483",1.84525144629392
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281486",-2.57481145389658
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281499",4.21261302044674
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281516",-2.50756135373875
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281532",-1.68341651269214
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281562",-1.32967350042705
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281581",-1.61523746094883
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281582",-1.3346398903809
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281598",1.34872365471291
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281635",2.20037708583645
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281672",-1.49642633667361
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281694",-1.84841150588984
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281715",-1.46417868439364
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281737",-1.26187465547397
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281750",-1.55710024176843
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281818",1.44999174500373
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281835",-2.81215417162134
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281857",-2.81186370669284
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281861",-2.2257149838949
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126281862",-1.70310450332845
