"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126335031",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.59060361705128,0.0155595980647371
"LOC126335036",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.47914703569061,3.2793218028582e-12
"LOC126335041",TRUE,1,"Diet contrasts: infected","Infected 33 vs 50","Downregulated",2.46664052055156,0.0113292684921842
"LOC126335043",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.28688814196297,0.00740647415385029
"LOC126335057",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Upregulated",2.66772168137615,0.000450493658049082
"LOC126335063",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.81863754617096,0.00373867156320418
"LOC126335078",TRUE,2,"Infection within diet","Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.32000695614961,0.00607482637315751
"LOC126335080",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.27882237305489,0.0039733627500236
"LOC126335081",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.19036162904825,0.0293681168383538
"LOC126335083",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.77674946186005,2.88556548543762e-08
"LOC126335084",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.78814572325052,1.60206736953193e-06
"LOC126335087",TRUE,1,"Diet contrasts: infected","Infected 33 vs 50","Downregulated",3.1927405021595,0.015546615564572
"LOC126335106",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 83: infected vs control","Downregulated",2.40427814542534,0.00422795474122831
"LOC126335113",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.03785584194868,0.00937303513387134
"LOC126335114",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.47749174424353,1.49218176325031e-18
"LOC126335115",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",6.74503314978613,4.50321574678471e-20
"LOC126335117",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.47971688199144,4.27368554027826e-08
"LOC126335126",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",2.35853604505046,0.0289162445445984
"LOC126335132",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.43056934432368,1.0599193995919e-05
"LOC126335136",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.60753758274577,0.0495458693464125
"LOC126335140",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",1.58394457605633,0.000330934609515152
"LOC126335142",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",1.4983566308315,0.00148676378648556
"LOC126335166",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.06116518505718,1.4125248371459e-17
"LOC126335167",TRUE,1,"Diet contrasts: infected","Infected 83 vs 33","Upregulated",1.80266284954664,0.0320931937207767
"LOC126335181",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.75591332445767,0.000255031734938013
"LOC126335182",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 83: infected vs control","Downregulated",1.76030982584094,6.99401859247701e-12
"LOC126335184",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.19021380587523,0.0213330086755862
"LOC126335186",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",2.93354720894238,0.00251314447078957
"LOC126335187",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 83: infected vs control","Upregulated",2.86022974204369,0.00258366646875935
"LOC126335199",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.60685829279099,0.00972011721641265
"LOC126335202",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",2.99503327693481,1.95297804420331e-05
"LOC126335220",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.25041828416548,0.0328464643783592
"LOC126335222",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",1.82831260933529,6.68939724725322e-07
