"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
901,"LOC126266641","Trypsin-like serine protease","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",4.29080721016363,0.0105995308784357,3.46949872306102,"1058","Higher than gene average"
902,"LOC126272383","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.61832645542578,0.0497468381980864,2.80089596228071,"1058","Higher than gene average"
903,"LOC126353984","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.20123837082626,0.0394965404436241,2.8245621851023,"1058","Higher than gene average"
904,"LOC126286498","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.4886134969365,0.0431644108542242,2.96831449312846,"1046","Higher than gene average"
905,"LOC126284649","phosphatase activity. It is involved in the biological process described with protein dephosphorylation","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.11310598855068,0.018132320386045,2.33508058486321,"1018","Higher than gene average"
906,"LOC126267351","Ring finger domain","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.65842952396497,0.013706442133433,2.51475914686171,"1057","Higher than gene average"
907,"LOC126272081","Cartilage oligomeric matrix protein","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.68526379287701,0.017740912401627,4.05668053719999,"1046","Higher than gene average"
908,"LOC126270012","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",1.20373273367265,0.0083394412974611,2.82007823281619,"1049","Higher than gene average"
909,"LOC126268194","amino acid transporter","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.06502501694734,0.00155066326898119,2.92399792641895,"1049","Higher than gene average"
910,"LOC126354272","-","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.21942648618278,0.0085653969737431,1.97017168325321,"1045","Higher than gene average"
911,"LOC126295351","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.05186130346419,0.0169713634428082,2.08792212209067,"1006","Higher than gene average"
912,"LOC126299265","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",3.0664073027115,0.033906567720404,2.86574459306807,"1006","Higher than gene average"
913,"LOC126324495","Defective proboscis extension response","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",3.17010479105318,4.68604667379612e-05,2.33236120519367,"1054","Higher than gene average"
914,"LOC126323780","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.4787636211277,8.10077805900679e-07,2.49847455639856,"1054","Higher than gene average"
915,"LOC126267936","no description","DEG in 2 diets",2,"50; 83","Higher in infected","Diet 50; Diet 83: infected vs control",2.05819413203196,5.91659069889242e-06,2.15475122964718,"1054","Higher than gene average"
916,"LOC126278946","ATP binding","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.38339914083826,2.79020144233873e-06,2.97627107737042,"1055","Higher than gene average"
917,"LOC126353793","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.12275418973415,4.57648682999007e-05,2.39487063115208,"1055","Higher than gene average"
918,"LOC126365918","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.69937999848552,1.74972106295359e-09,2.68706339298954,"1054","Higher than gene average"
919,"LOC126292045","no description","DEG in 3 diets",3,"33; 50; 83","Higher in infected","Diet 33; Diet 50; Diet 83: infected vs control",2.8556629350682,3.57233344630426e-07,2.43124764894979,"1055","Higher than gene average"
920,"LOC126278442","Transforming growth  factor-beta (TGF-beta) family","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.26293602178963,2.20666908991789e-07,2.73944447175332,"1055","Higher than gene average"
921,"LOC126297821","Involved in pyrimidine base degradation. Catalyzes the reduction of uracil and thymine","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.62508400688693,4.17139091320929e-05,1.84039185027665,"1039","Lower than gene average"
922,"LOC126355083","no description","DEG in 2 diets",2,"33; 50","Higher in infected","Diet 33; Diet 50: infected vs control",2.10681378539411,0.000173007289456938,2.31261478333799,"1054","Higher than gene average"
923,"LOC126354476","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.76872465795677,0.00309442048838335,1.94542967993124,"1054","Higher than gene average"
924,"LOC126354323","no description","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",2.29902465853063,6.99801391776903e-06,2.29499317304117,"1040","Lower than gene average"
925,"LOC126282099","Protein tyrosine phosphatase activity. It is involved in the biological process described with protein dephosphorylation","DEG in 1 diet",1,"50","Higher in infected","Diet 50: infected vs control",1.00032000313472,0.0133066442124853,2.04623456847477,"1007","Lower than gene average"
