"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id"
1711,"LOC126316761","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.10312361689514,0.00568934472392954,3.18747842272229,1037,"Higher than gene average","upper_branch_k4_4"
1712,"LOC126311213","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.49980969132985,0.00795748695590731,3.0509358084964,1037,"Higher than gene average","upper_branch_k4_4"
1713,"LOC126323750","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.97050354912269,0.0254675321479951,3.03828572379832,1037,"Higher than gene average","upper_branch_k4_4"
1714,"LOC126325867","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.61648624667634,0.0311833766493389,2.86247916294176,1037,"Higher than gene average","upper_branch_k4_4"
1715,"LOC126318451","UAA transporter family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.56570213491723,0.0204975995908915,2.99651789711552,1037,"Higher than gene average","upper_branch_k4_4"
1716,"LOC126318327","Protein of unknown function (DUF3421)","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.65473526320211,0.0451692928884615,3.53134667386343,1037,"Higher than gene average","upper_branch_k4_4"
1717,"LOC126322696","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.46415879633786,0.0124588672219745,3.24849561223683,1037,"Higher than gene average","upper_branch_k4_4"
1718,"LOC126311241","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.60504155424801,0.00769621917508913,3.12670955551883,1037,"Higher than gene average","upper_branch_k4_4"
1719,"LOC126315403","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.17882538366259,0.00922959443706954,3.58380997389126,1037,"Higher than gene average","upper_branch_k4_4"
1720,"LOC126329583","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.18556281029797,0.0129669329944506,3.42788555583282,1037,"Higher than gene average","upper_branch_k4_4"
1721,"LOC126320599","Rhomboid family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.07984960790064,0.0213485951036423,3.01860089904173,1037,"Higher than gene average","upper_branch_k4_4"
1722,"LOC126326116","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.99854067892284,0.00556090740280033,3.21570340046536,1037,"Higher than gene average","upper_branch_k4_4"
1723,"LOC126322681","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.93818815990832,0.0244889935898496,2.86476351707039,1037,"Higher than gene average","upper_branch_k4_4"
1724,"LOC126311248","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.23858776168451,0.0470672952438898,3.27003402964301,1037,"Higher than gene average","upper_branch_k4_4"
1725,"LOC126317516","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.30731026125454,0.0130879791570101,2.84009633169029,1037,"Higher than gene average","upper_branch_k4_4"
1726,"LOC126323247","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.25180292225637,0.00699283879075347,3.11353460436412,1037,"Higher than gene average","upper_branch_k4_4"
1727,"LOC126320352","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.51704604571065,0.0119519892281142,3.05288870193864,1037,"Higher than gene average","upper_branch_k4_4"
1728,"LOC126315452","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",5.47957469832113,0.0130853436563274,3.05806024537433,1037,"Higher than gene average","upper_branch_k4_4"
1729,"LOC126329916","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.92641623239504,0.0234369996660345,3.11815857411797,1037,"Higher than gene average","upper_branch_k4_4"
1730,"LOC126322599","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",6.06443681115813,0.0162818102015322,2.91094577553581,1037,"Higher than gene average","upper_branch_k4_4"
