name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Tissierellaceae	1737406	F	20	0	20	0.00000
Erysipelotrichaceae	128827	F	61	72	133	0.00001
Coprobacillaceae	2810280	F	48	23	71	0.00001
Turicibacteraceae	2810281	F	13	2	15	0.00000
Limnochordaceae	1676650	F	110	0	110	0.00001
Caldicellulosiruptoraceae	3071002	F	56	15	71	0.00001
Spiroplasmataceae	2131	F	3548	7	3555	0.00038
Entomoplasmataceae	33925	F	16	9	25	0.00000
Mycoplasmataceae	2092	F	156	29	185	0.00002
Acholeplasmataceae	2146	F	87	12	99	0.00001
Candidatus Izemoplasmataceae	2975520	F	17	0	17	0.00000
Metamycoplasmataceae	2895623	F	158	23	181	0.00002
Mycoplasmoidaceae	2790998	F	16	1	17	0.00000
Nostocaceae	1162	F	420	12	432	0.00005
Nodulariaceae	3079761	F	35	1	36	0.00000
Aphanizomenonaceae	1892259	F	23	3	26	0.00000
Calotrichaceae	2661849	F	15	0	15	0.00000
Tolypothrichaceae	119859	F	14	0	14	0.00000
Hapalosiphonaceae	1892263	F	13	1	14	0.00000
Geminocystaceae	2815910	F	95	5	100	0.00001
Aphanothecaceae	1890450	F	47	0	47	0.00001
Microcystaceae	1890449	F	40	0	40	0.00000
Microcoleaceae	1892252	F	49	1	50	0.00001
Sirenicapillariaceae	2934961	F	14	0	14	0.00000
Oscillatoriaceae	1892254	F	13	0	13	0.00000
Synechococcaceae	1890426	F	138	18	156	0.00002
Prochlorococcaceae	2881426	F	60	1	61	0.00001
Leptolyngbyaceae	1890438	F	31	3	34	0.00000
Gloeobacteraceae	1890422	F	22	0	22	0.00000
Pseudanabaenaceae	1890436	F	18	1	19	0.00000
Chroococcidiopsidaceae	1890528	F	16	0	16	0.00000
Pleurocapsaceae	1890500	F	10	0	10	0.00000
Acaryochloridaceae	1890429	F	13	0	13	0.00000
Desertifilaceae	1969992	F	12	0	12	0.00000
Anaerolineaceae	292628	F	119	0	119	0.00001
Chloroflexaceae	1106	F	17	1	18	0.00000
Dehalococcoidaceae	1202464	F	14	0	14	0.00000
Fusobacteriaceae	203492	F	287	141	428	0.00005
Leptotrichiaceae	1129771	F	100	54	154	0.00002
Thermaceae	188786	F	137	0	137	0.00001
Deinococcaceae	183710	F	36	1	37	0.00000
Fervidobacteriaceae	1643950	F	25	29	54	0.00001
Thermotogaceae	188709	F	17	0	17	0.00000
Petrotogaceae	1643949	F	31	5	36	0.00000
Synergistaceae	649777	F	23	6	29	0.00000
Methanosarcinaceae	2206	F	224	17	241	0.00003
Methanoregulaceae	1198451	F	30	0	30	0.00000
Methanomicrobiaceae	2194	F	16	0	16	0.00000
Haloferacaceae	1644056	F	73	24	97	0.00001
Natrialbaceae	1644061	F	72	3	75	0.00001
Haloarculaceae	1963268	F	50	2	52	0.00001
Haladaptataceae	3064797	F	21	3	24	0.00000
Natronomonadaceae	3402413	F	15	1	16	0.00000
Natronoarchaeaceae	2976354	F	11	0	11	0.00000
Methanobacteriaceae	2159	F	96	188	284	0.00003
Methanocaldococcaceae	196117	F	25	7	32	0.00000
Methanococcaceae	2183	F	19	8	27	0.00000
Thermococcaceae	2259	F	62	0	62	0.00001
Archaeoglobaceae	2232	F	59	0	59	0.00001
Thermoplasmataceae	46659	F	12	0	12	0.00000
Ferroplasmaceae	90142	F	10	0	10	0.00000
Sulfolobaceae	118883	F	129	2	131	0.00001
Thermoproteaceae	2267	F	78	1	79	0.00001
Caldisphaeraceae	255472	F	15	7	22	0.00000
Nitrososphaeraceae	1033997	F	187	0	187	0.00002
Nitrosopumilaceae	338190	F	29	9	38	0.00000
Promethearchaeaceae	3366644	F	15	6	21	0.00000
Baculoviridae	10442	F	21584	0	21584	0.00232
Ackermannviridae	2169529	F	102	0	102	0.00001
Straboviridae	2946170	F	10	0	10	0.00000
Chimalliviridae	3152113	F	15	0	15	0.00000
Mimiviridae	549779	F	51	0	51	0.00001
Marseilleviridae	944644	F	24	0	24	0.00000
Poxviridae	10240	F	10	0	10	0.00000
Nairoviridae	1980415	F	14	0	14	0.00000
