"gene_id","Diet 33","Diet 50","Diet 83","intersection"
"LOC126284279",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284284",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284291",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284296",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284300",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284305",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284310",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284312",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284315",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284322",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284323",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284326",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284333",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284334",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284336",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284338",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284341",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284350",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284367",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284371",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284373",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284378",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284379",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284383",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284387",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284394",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284412",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284413",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284416",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284425",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284428",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284429",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284452",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284453",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284462",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284463",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284465",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284466",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284482",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284491",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284496",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284500",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284502",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284511",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284514",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284518",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284524",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284543",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284548",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284552",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284556",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284557",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284559",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284563",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284566",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284570",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284573",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284575",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284577",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284582",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284584",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284604",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284609",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284620",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284624",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284626",TRUE,FALSE,TRUE,"Diet 33 + Diet 83"
"LOC126284629",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284630",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284632",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284636",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284639",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284640",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284645",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284648",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284649",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284651",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284663",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284667",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284670",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284679",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284686",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284688",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284694",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284697",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284705",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284712",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284726",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284728",FALSE,FALSE,TRUE,"Diet 83"
"LOC126284731",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284736",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284739",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284742",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284747",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284748",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284752",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284753",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284756",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284763",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284765",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284766",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284768",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284778",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284786",TRUE,TRUE,FALSE,"Diet 33 + Diet 50"
"LOC126284788",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284795",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284800",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284801",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284802",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284812",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284817",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
"LOC126284823",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284832",FALSE,TRUE,TRUE,"Diet 50 + Diet 83"
"LOC126284840",FALSE,TRUE,FALSE,"Diet 50"
"LOC126284845",TRUE,FALSE,FALSE,"Diet 33"
"LOC126284857",TRUE,TRUE,TRUE,"Diet 33 + Diet 50 + Diet 83"
