"term","name","ontology"
"GO:0008340","determination of adult lifespan","BP"
"GO:0009636","response to toxic substance","BP"
"GO:0009719","response to endogenous stimulus","BP"
"GO:0009725","response to hormone","BP"
"GO:0010629","negative regulation of gene expression","BP"
"GO:0016787","hydrolase activity","MF"
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","MF"
"GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","MF"
"GO:0017136","histone deacetylase activity, NAD-dependent","MF"
"GO:0019213","deacetylase activity","MF"
"GO:0030534","adult behavior","BP"
"GO:0031974","membrane-enclosed lumen","CC"
"GO:0031981","nuclear lumen","CC"
"GO:0032868","response to insulin","BP"
"GO:0032869","cellular response to insulin stimulus","BP"
"GO:0032870","cellular response to hormone stimulus","BP"
"GO:0033044","regulation of chromosome organization","BP"
"GO:0033558","protein lysine deacetylase activity","MF"
"GO:0034979","NAD-dependent protein lysine deacetylase activity","MF"
"GO:0035601","protein deacylation","BP"
"GO:0040029","epigenetic regulation of gene expression","BP"
"GO:0043233","organelle lumen","CC"
"GO:0043434","response to peptide hormone","BP"
"GO:0045471","response to ethanol","BP"
"GO:0045814","negative regulation of gene expression, epigenetic","BP"
"GO:0045892","negative regulation of DNA-templated transcription","BP"
"GO:0046677","response to antibiotic","BP"
"GO:0048149","behavioral response to ethanol","BP"
"GO:0048520","positive regulation of behavior","BP"
"GO:0050795","regulation of behavior","BP"
"GO:0051253","negative regulation of RNA metabolic process","BP"
"GO:0051276","chromosome organization","BP"
"GO:0060259","regulation of feeding behavior","BP"
"GO:0070013","intracellular organelle lumen","CC"
"GO:0070887","cellular response to chemical stimulus","BP"
"GO:0071375","cellular response to peptide hormone stimulus","BP"
"GO:0071495","cellular response to endogenous stimulus","BP"
