"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
76,"LOC126272129","peroxiredoxin-6-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.49294947906738,0.0184947768485133,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
77,"LOC126282456","uncharacterized LOC126282456","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",4.11033428692273,2.88149111980988e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
78,"LOC126282209","prostaglandin reductase 1-like","protein_coding","Infection within diet","infection_diet83","Control diet 83",1.15028106375421,0.00326190878356552,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
79,"LOC126272126","peroxiredoxin-6-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.85898144562199,5.05428741827185e-08,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
80,"LOC126278567","xylulose kinase-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.19329504106269,5.50245184413185e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
81,"LOC126335352","2-hydroxyacyl-CoA lyase 1","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",1.34726817810294,7.95681766366112e-11,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
82,"LOC126334779","defensin-1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.45322720937772,0.0042303519413321,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
83,"LOC126334780","defensin-1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",2.5539832158602,0.00511312904166755,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
84,"LOC126337896","protein couch potato-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",1.20103641957283,0.0404929015038651,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
85,"LOC126363166","neuronal calcium sensor 2","protein_coding","Infection within diet","infection_diet50","Control diet 50",1.0344469568451,0.0304111775801373,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
86,"LOC126272931","beta-hexosaminidase subunit beta-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.40912475065424,2.86427733546301e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
87,"LOC126334657","bcl-2-related ovarian killer protein-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",1.68207488182876,4.56159139413212e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
88,"LOC126299093","homeobox protein engrailed-1-B-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.53352556901205,2.21213734337882e-05,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
89,"LOC126268728","trypsin-1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet83","Average control; Control diet 33; Control diet 83",2.33661959350024,2.60262123313255e-07,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
90,"LOC126272556","irregular chiasm C-roughest protein","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50",1.83265509467548,4.06998667073478e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
91,"LOC126278501","fork head domain transcription factor slp2-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33; infection_diet50; infection_diet83","Average control; Control diet 33; Control diet 50; Control diet 83",1.87499522302748,2.48503596983254e-06,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
92,"LOC126353181","uncharacterized LOC126353181","protein_coding","Infection within diet","infection_average_all_diets; infection_diet50","Average control; Control diet 50",1.40190684827092,0.000526184605930948,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
