"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126316990","squamous cell carcinoma antigen recognized by T-cells 3-like",17.0256087716424,2.40685328565326,0.732024281307676,3.28794187175554,0.00100922674895267,0.0294382426277587,"protein_coding"
"LOC126316906","uncharacterized LOC126316906",17.9207966070551,2.45546299456603,0.778997458856303,3.15208087863477,0.00162111363837967,0.0394871765078909,"protein_coding"
"LOC126316911","uncharacterized LOC126316911",25.0838100299722,2.75739195523365,0.739784359478879,3.7272915004259,0.000193548558941855,0.0111694009193845,"protein_coding"
"LOC126316916","uncharacterized LOC126316916",29.2678490168442,2.64691068336994,0.787178284097817,3.36253011146459,0.000772317025582263,0.0250964389367008,"protein_coding"
"LOC126316947","elongator complex protein 4-like",18.7643289470881,2.72914195010319,0.812150210940649,3.36039061904847,0.00077832343184015,0.0251664428250022,"protein_coding"
"LOC126316986","uncharacterized LOC126316986",17.8937622379821,2.5878808117956,0.760963003178543,3.40079714912028,0.000671896666538324,0.0232079823082792,"protein_coding"
"LOC126316967","serine/threonine-protein phosphatase 4 regulatory subunit 3-B-like",57.7257840633711,3.47225073131366,0.72616666868247,4.78161678449602,1.73890933356785e-06,0.000972957574508028,"protein_coding"
"LOC126316961","uncharacterized LOC126316961",28.9214535370186,2.40917384668664,0.733269329205143,3.28552381878315,0.00101792935542991,0.0294382426277587,"protein_coding"
"LOC126316983","uncharacterized LOC126316983",31.2310258078868,2.83620843103756,0.817809505953163,3.4680551037762,0.00052423977958875,0.0203371655382954,"protein_coding"
"LOC126316973","UV excision repair protein RAD23 homolog",33.3412659562593,3.03264598835325,0.791322019374915,3.832379125187,0.000126909959263907,0.00872969962549753,"protein_coding"
"LOC126316977","myotrophin-like",26.3060416178119,2.63094105561257,0.661336814771297,3.97821654087471,6.94341233358723e-05,0.00652224622780541,"protein_coding"
"LOC126316933","uncharacterized LOC126316933",27.5507859997514,2.55185972536276,0.838366766688794,3.04384647239961,0.00233574307323006,0.0496634010137194,"protein_coding"
"LOC126316936","uncharacterized LOC126316936",31.0378554514582,2.96366326071301,0.740967353238441,3.99972177959009,6.34169937185656e-05,0.00637588509503298,"protein_coding"
"LOC126316937","uncharacterized LOC126316937",34.0318906282174,2.78472852228371,0.736287459726526,3.78212135151402,0.000155497519335486,0.00985762352871116,"protein_coding"
"LOC126316951","conserved oligomeric Golgi complex subunit 4-like",11.1426511854351,2.61689966157084,0.756315114863994,3.46006526927792,0.000540044469758268,0.0206840246467832,"protein_coding"
"LOC126317077","probable phospholipid-transporting ATPase IA",45.3438105948753,2.63638005550809,0.809031168308881,3.25868787109762,0.00111928739115837,0.0309753287725857,"protein_coding"
"LOC126317117","putative rho GDP-dissociation inhibitor 1",22.7316552809281,2.31085073431883,0.74000431790262,3.12275304131796,0.00179168016029162,0.0420496373077352,"protein_coding"
"LOC126317105","uncharacterized LOC126317105",25.1443909426139,2.55236677056318,0.720581073309035,3.54209521330093,0.000396962160930136,0.0172584663817903,"protein_coding"
"LOC126317121","uncharacterized LOC126317121",95.6312227359647,3.47055106755818,0.757389004892827,4.58225699757719,4.59984089795043e-06,0.00149012361191452,"protein_coding"
"LOC126317097","uncharacterized LOC126317097",184.807752855545,4.1297289304598,0.749132017414353,5.51268512686677,3.53400148833654e-08,5.68488314417537e-05,"protein_coding"
"LOC126317110","uncharacterized LOC126317110",58.5207633728352,3.15952403091871,0.677475826498748,4.66367050651444,3.10618589025534e-06,0.00128946794263535,"protein_coding"
