"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
3186,"LOC126284222","Mediator of CRAC channel activity","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Upregulated",3.06346859927174,0.0497144874979965,3.32051491084777,"1023","Higher than gene average"
3187,"LOC126266641","Trypsin-like serine protease","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",4.27358934332573,0.0370128575762864,3.46949872306101,"1058","Higher than gene average"
3188,"LOC126292098","Domain of unknown function (DUF4780)","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.98483892890448,0.0478983198477102,3.41149280554515,"1016","Higher than gene average"
3189,"LOC126334955","Sugar (and other) transporter","Infection within diet","Shared head/thorax phase DEG",1,"Diet 50: infected vs control","Upregulated",2.33720560764467,0.0293446979847158,2.56840666148107,"1052","Higher than gene average"
3190,"LOC126298679","amino acid transmembrane transporter activity. It is involved in the biological process described with amino acid transmembrane transport","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.30648349131925,0.035454049377847,2.82387203425198,"1023","Higher than gene average"
3191,"LOC126280853","catalytic activity. It is involved in the biological process described with metabolic process","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.01576167026388,0.00315105141298324,3.1462430148678,"1016","Higher than gene average"
3192,"LOC126298554","Chitin-binding domain type 2","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.78610659395553,0.00582234742885886,2.65339677259554,"1025","Higher than gene average"
3193,"LOC126284338","Pacifastin inhibitor (LCMII)","Infection within diet","Head phase DEG only",1,"Diet 50: infected vs control","Upregulated",6.92770639118743,5.20941750276193e-05,3.82104125683183,"1023","Higher than gene average"
3194,"LOC126335132","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",4.43056934432368,0.00795311903648175,3.14657679633584,"1055","Higher than gene average"
3195,"LOC126298043","no description","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",2.3467507011935,0.00512657063934537,3.82221731696097,"1058","Higher than gene average"
3196,"LOC126284768","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.95522132412972,0.000858936008640967,3.13048764160884,"1052","Higher than gene average"
3197,"LOC126334702","no description","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",4.03469126208533,6.5050262976172e-06,4.04757776427892,"1058","Higher than gene average"
3198,"LOC126280394","no description","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",6.12555922173875,0.000191668949561122,4.15640465639427,"1058","Higher than gene average"
3199,"LOC126271954","Pyridoxal-dependent decarboxylase conserved domain","Infection + diet","Head phase DEG only",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.83718506606236,0.0394036808710982,4.56331474990642,"1052","Higher than gene average"
3200,"LOC126339265","Produces nitric oxide (NO)","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",2.25927702914784,0.00196833213871185,2.88930405309578,"1052","Higher than gene average"
3201,"LOC126283972","GMC oxidoreductase","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",6.02490233528534,0.000221421073495177,3.11434178416706,"1055","Higher than gene average"
3202,"LOC126298335","Dynein heavy chain, N-terminal region 1","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",4.39946086948762,0.0134442144175604,3.37884650368866,"1023","Higher than gene average"
3203,"LOC126293326","heme binding. It is involved in the biological process described with response to oxidative stress","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",5.14248006695102,0.0142853742237795,3.708375791414,"1058","Higher than gene average"
3204,"LOC126298400","SMP-30/Gluconolaconase/LRE-like region","Infection within diet","Thorax phase DEG only",1,"Diet 50: infected vs control","Upregulated",4.1080220647351,0.0175762273515218,3.27832007482247,"1058","Higher than gene average"
3205,"LOC126281675","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",1.61142870788225,0.0183331940064506,3.54743398250183,"1058","Higher than gene average"
3206,"LOC126281553","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",2.07526701225681,0.0411469439569513,2.76580908731039,"1058","Higher than gene average"
3207,"LOC126299052","no description","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Upregulated",3.89976325654471,0.0320770676235922,2.19318632515929,"1045","Higher than gene average"
