"gene_id","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126278305",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278931",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126277961",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278935",2,"Head + Thorax","Gregarious-up",2.49755176961502,2.78554356255465,2.20955997667539,2.78554356255465,1.46677526234576e-05,4.82529307046426e-05,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126278986",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278938",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278175",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278940",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279017",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279018",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278219",1,"Head","Gregarious-up",1.00721297004111,1.00721297004111,1.00721297004111,NA,0.00702169906525113,NA,"Gregarious-up","Head phase DEG only"
"LOC126278464",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281391",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281615",1,"Thorax","Gregarious-up",1.06442983058033,1.06442983058033,NA,1.06442983058033,NA,2.6401265445573e-45,"Gregarious-up","Thorax phase DEG only"
"LOC126282212",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281155",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281758",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281764",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281778",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281334",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281940",1,"Thorax","Gregarious-up",1.02507724086023,1.02507724086023,NA,1.02507724086023,NA,1.00067489464924e-07,"Gregarious-up","Thorax phase DEG only"
"LOC126282072",1,"Head","Solitarious-up",-3.64407254373026,3.64407254373026,-3.64407254373026,NA,7.78816489682953e-08,NA,"Solitarious-up","Head phase DEG only"
"LOC126281443",1,"Head","Solitarious-up",-1.0297331090228,1.0297331090228,-1.0297331090228,NA,0.0185610311414613,NA,"Solitarious-up","Head phase DEG only"
"LOC126281829",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281315",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281631",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281444",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281519",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282230",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281899",1,"Thorax","Gregarious-up",1.31245057058592,1.31245057058592,NA,1.31245057058592,NA,1.21833081103956e-08,"Gregarious-up","Thorax phase DEG only"
"LOC126282073",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282071",2,"Head + Thorax","Gregarious-up",1.19123963688867,1.35414761588638,1.02833165789096,1.35414761588638,4.11070187906719e-06,4.37835010752932e-10,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126282516",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281771",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281774",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281290",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281291",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281903",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282005",2,"Head + Thorax","Gregarious-up",1.47076797793905,1.52602624518208,1.41550971069602,1.52602624518208,2.97924051542168e-14,1.82146279517558e-15,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126281853",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281544",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281546",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281547",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281584",1,"Head","Gregarious-up",1.01171470699216,1.01171470699216,1.01171470699216,NA,0.00112846371477974,NA,"Gregarious-up","Head phase DEG only"
"LOC126281486",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281292",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282181",2,"Head + Thorax","Solitarious-up",-1.24223901352112,1.42429567305645,-1.06018235398579,-1.42429567305645,0.0129737715727706,2.89961106723089e-05,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126282089",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282224",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281195",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281560",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282309",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281510",1,"Thorax","Solitarious-up",-1.03610395415616,1.03610395415616,NA,-1.03610395415616,NA,0.000604858160658001,"Solitarious-up","Thorax phase DEG only"
"LOC126281679",2,"Head + Thorax","Solitarious-up",-1.32231808495301,1.51680270688907,-1.12783346301696,-1.51680270688907,0.00175665225752152,3.65761499618424e-05,"Solitarious-up","Shared head/thorax phase DEG"
"LOC126281684",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281686",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282249",2,"Head + Thorax","Gregarious-up",1.89269265238881,2.15467977258845,1.63070553218918,2.15467977258845,9.99075911178088e-05,1.02042332514327e-07,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126282250",2,"Head + Thorax","Gregarious-up",1.82628054827199,2.01056936887541,1.64199172766857,2.01056936887541,7.06452379192371e-06,4.88325537480593e-05,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126282251",2,"Head + Thorax","Gregarious-up",4.21656852664489,4.39937435553609,4.39937435553609,4.03376269775369,1.46784158086034e-21,8.66632104700425e-08,"Gregarious-up","Shared head/thorax phase DEG"
"LOC126282247",1,"Head","Gregarious-up",1.17541423923778,1.17541423923778,1.17541423923778,NA,5.24922999776799e-09,NA,"Gregarious-up","Head phase DEG only"
"LOC126282243",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126281339",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
